question,right_answer,bot_response
Which groups have contributed to innovations in both DC1 and DC5?,"SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName IN ('DC1', 'DC5');",SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.DepartmentId IN (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%DC1%')) AND Jidouka.DepartmentId IN (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%DC5%'));
What are the groups in department AS?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%AS%');,SELECT GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%AS%');
How much time has been saved by innovations from the AI group in DC5?,SELECT SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC5%');,SELECT SUM(TotalTimeSaved) FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC5%');
What innovations has DC3 introduced recently?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC3%') ORDER BY Jidouka.DateCreate DESC;,SELECT ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE DepartmentName LIKE LOWER('%DC3%');
What projects are currently active in department DC5?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%') AND Jidouka.DateCreate >LIKE LOWER('%2024-01-01%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC5%');
What was the total time saved by innovations launched last month?,SELECT SUM(TotalTimeSaved) AS TotalTime FROM Jidouka WHERE MONTH(DateCreate) = MONTH(CURDATE() - INTERVAL 1 MONTH) AND YEAR(DateCreate) = YEAR(CURDATE());,SELECT SUM(TotalTimeSaved) FROM Jidouka WHERE DateCreate LIKE LOWER('%2024-01-01%');
How many hours have been saved by innovations from the Scanner group in DC4?,SELECT SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC4%');,SELECT SUM(TotalTimeSaved) FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%Scanner%') AND Department.DepartmentName LIKE LOWER('%DC4%');
Which improvements from the AI group in DC7 have saved the most time?,"SELECT Jidouka.ImprovementName, SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC7%') GROUP BY Jidouka.ImprovementName ORDER BY TotalTimeSaved DESC LIMIT 1;","SELECT Jidouka.ImprovementName, SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC7%') GROUP BY Jidouka.ImprovementName ORDER BY TotalTimeSaved DESC;"
What are the groups in department AS?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%AS%');,SELECT GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%AS%');
What are the innovations by the MCV group in DC5?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%') AND Department.DepartmentName LIKE LOWER('%DC5%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%MCV%') AND Department.DepartmentName LIKE LOWER('%DC5%');
Which innovations were created exactly one year ago today?,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE DateCreate = DATE_SUB(CURDATE(), INTERVAL 1 YEAR);","SELECT ImprovementName FROM Jidouka WHERE DateCreate = DATE_SUB(CURDATE(), INTERVAL 1 YEAR);"
Which improvements from the AI group in DC7 have saved the most time?,"SELECT Jidouka.ImprovementName, SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC7%') GROUP BY Jidouka.ImprovementName ORDER BY TotalTimeSaved DESC LIMIT 1;","SELECT Jidouka.ImprovementName, SUM(Jidouka.TotalTimeSaved) AS TotalTimeSaved FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE GroupDC.GroupDCName LIKE LOWER('%AI%') AND Department.DepartmentName LIKE LOWER('%DC7%') GROUP BY Jidouka.ImprovementName ORDER BY TotalTimeSaved DESC;"
List all innovations created on public holidays in 2024.,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE DateCreate IN ('2024-01-01', '2024-04-30', '2024-05-01', '2024-09-02');","SELECT ImprovementName FROM Jidouka WHERE DateCreate IN ('2024-01-01', '2024-04-30', '2024-05-01', '2024-09-02');"
Find innovations created in December over the past five years.,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE MONTH(DateCreate) = 12 AND DateCreate >= DATE_SUB(CURDATE(), INTERVAL 5 YEAR);",SELECT ImprovementName FROM Jidouka WHERE DateCreate BETWEEN '2023-12-01' AND '2023-12-31';
What is the average number of hours saved by innovations created in 2021?,SELECT AVG(TotalTimeSaved) AS AvgSavedHours FROM Jidouka WHERE YEAR(DateCreate) = 2021;,SELECT AVG(TotalTimeSaved) FROM Jidouka WHERE YEAR(DateCreate) = 2021;
Which innovations were launched exactly six months ago?,"SELECT ImprovementName, DateCreate FROM Jidouka WHERE DateCreate = DATE_SUB(CURDATE(), INTERVAL 6 MONTH);","SELECT ImprovementName FROM Jidouka WHERE DateCreate = DATE_SUB(CURDATE(), INTERVAL 6 MONTH);"
Cải tiến nào được áp dụng cho sản phẩm 'Máy lạnh A'?,SELECT ImprovementName FROM Jidouka WHERE ProductApply LIKE LOWER('%Máy lạnh A%');,SELECT Jidouka.ImprovementName FROM Jidouka WHERE ProductApply LIKE LOWER('%Máy lạnh A%');
Những người sáng tạo nào làm việc tại bộ phận 'DC2'?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC2%');,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%DC2%');
Danh sách tất cả các cải tiến được thực hiện bởi tác giả có tên là 'Nguyễn Văn A'.,SELECT ImprovementName FROM Jidouka WHERE AuthorId = (SELECT AuthorId FROM Author WHERE AuthorName LIKE LOWER('%Nguyễn Văn A%'));,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE '%Nguyễn Văn A%';
Những công cụ nào được sử dụng bởi cải tiến tự động hóa có tên là 'Jidouka X'?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.ImprovementName LIKE LOWER('%Jidouka X%');,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.ImprovementName LIKE LOWER('%Jidouka X%');
Các cải tiến nào áp dụng cho hơn 5 công việc khác nhau?,SELECT ImprovementName FROM Jidouka WHERE TotalJobApplied > 5;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.TotalJobApplied > 5;
Danh sách các video hướng dẫn của cải tiến trong nhóm 'Thiết kế'?,SELECT Jidouka.Video FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Thiết kế%');,SELECT Jidouka.Video FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE '%Thiết kế%';
Cải tiến nào được áp dụng cho công việc 'Phân tích dữ liệu'?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE LOWER('%Phân tích dữ liệu%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE '%Phân tích dữ liệu%';
Những công cụ nào đã được sử dụng nhiều hơn 3 lần trong các cải tiến?,"SELECT Tool.ToolName, COUNT(JidoukaTool.ToolId) AS UsageCount FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolName HAVING COUNT(JidoukaTool.ToolId) > 3;",SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId GROUP BY Tool.ToolName HAVING COUNT(JidoukaTool.JidoukaId) > 3;
Những cải tiến nào có mô tả chứa từ 'tự động hóa'?,SELECT ImprovementName FROM Jidouka WHERE Description LIKE '%tự động hóa%';,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.Description LIKE '%tự động hóa%';
Cải tiến nào có tài liệu chi tiết được đính kèm?,SELECT ImprovementName FROM Jidouka WHERE DetailDocument IS NOT NULL;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE DetailDocument IS NOT NULL;
Danh sách các cải tiến có số giờ tiết kiệm trên 500 giờ?,SELECT ImprovementName FROM Jidouka WHERE TotalTimeSaved > 500;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE TotalTimeSaved > 500;
Tổng số giờ tiết kiệm của các cải tiến thuộc nhóm 'Nghiên cứu'? ,SELECT SUM(TotalTimeSaved) FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Nghiên cứu%');,SELECT SUM(TotalTimeSaved) FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE '%Nghiên cứu%';
Công cụ nào chỉ được sử dụng trong các cải tiến thuộc nhóm 'Lập trình'?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Lập trình%');,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.GroupDCId = (SELECT GroupDCId FROM GroupDC WHERE GroupDCName LIKE '%Lập trình%');
Những cải tiến nào liên quan tới loại hình công việc là CAE,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE LOWER('%CAE%');,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE '%CAE%';
Cho tôi danh sách tên của tất cả người tạo cải tiến?,SELECT AuthorName FROM Author;,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId GROUP BY Author.AuthorName;
Cải tiến nào được tạo ra trong tháng 11 năm 2024?,SELECT ImprovementName FROM Jidouka WHERE MONTH(DateCreate) = 11 AND YEAR(DateCreate) = 2024;,SELECT Jidouka.ImprovementName FROM Jidouka WHERE MONTH(Jidouka.DateCreate) = 11 AND YEAR(Jidouka.DateCreate) = 2024;
Những công cụ nào được dùng cho cải tiến có tên là 'Tự động hóa quy trình sản xuất'?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.ImprovementName LIKE LOWER('%Tự động hóa quy trình sản xuất%');,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.ImprovementName LIKE '%Tự động hóa quy trình sản xuất%';
Những cải tiến nào đã áp dụng cho sản phẩm 'Xe điện'?,SELECT ImprovementName FROM Jidouka WHERE ProductApply LIKE LOWER('%Xe điện%');,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.ProductApply LIKE LOWER('%Xe điện%');
Liệt kê các tác giả đã thực hiện cải tiến tiết kiệm tổng số giờ lớn hơn 200 và thuộc nhóm 'Design Team'.,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE Jidouka.TotalTimeSaved > 200 AND GroupDC.GroupDCName LIKE LOWER('%Design Team%');,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE '%Design Team%' AND Jidouka.TotalTimeSaved > 200;
Những cải tiến được thực hiện trong bộ phận 'QA' có sử dụng công cụ hỗ trợ tự động hóa nào?,SELECT DISTINCT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%QA%') AND Tool.ToolName LIKE '%hỗ trợ tự động hóa%';,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%QA%') AND JidoukaTool.ToolDescription LIKE '%hỗ trợ tự động hóa%';
Cho tôi biết tên của tất cả các nhóm thuộc bộ phận 'Production' có liên quan đến cải tiến được ra mắt trong năm 2023.,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Department.DepartmentName LIKE LOWER('%Production%') AND YEAR(Jidouka.DateCreate) = 2023;,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Department.DepartmentName LIKE LOWER('%Production%') AND YEAR(Jidouka.DateCreate) = 2023;
Những công cụ nào được sử dụng trong tất cả các cải tiến thuộc loại hình công việc là 'CAE'?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId JOIN Job ON Jidouka.JobId = Job.JobId WHERE Job.JobName LIKE '%CAE%';,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.JobId IN (SELECT Job.JobId FROM Job WHERE Job.JobName LIKE '%CAE%');
"Liệt kê các cải tiến có sản phẩm áp dụng là 'Product B' và tổng số giờ tiết kiệm được lớn hơn 300, kèm theo tên nhóm và bộ phận liên quan.","SELECT Jidouka.ImprovementName, GroupDC.GroupDCName, Department.DepartmentName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE Jidouka.ProductApply LIKE LOWER('%Product B%') AND Jidouka.TotalTimeSaved > 300;","SELECT Jidouka.ImprovementName, GroupDC.GroupDCName, Department.DepartmentName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId JOIN Department ON GroupDC.DepartmentId = Department.DepartmentId WHERE Jidouka.ProductApply LIKE LOWER('%Product B%') AND Jidouka.TotalTimeSaved > 300;"
Những cải tiến được thực hiện bởi nhân viên 'Nguyễn Văn A' thuộc nhóm 'Team Beta' có ngày ra mắt trong khoảng từ tháng 1 đến tháng 3 năm 2024 là gì?,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE Author.AuthorName LIKE LOWER('%Nguyễn Văn A%') AND GroupDC.GroupDCName LIKE LOWER('%Team Beta%') AND Jidouka.DateCreate BETWEEN '2024-01-01' AND '2024-03-31';,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Team Beta%') AND Jidouka.DateCreate BETWEEN '2024-01-01' AND '2024-03-31';
Cải tiến nào có số giờ tiết kiệm lớn nhất trong mỗi bộ phận?,"SELECT Department.DepartmentName, Jidouka.ImprovementName, MAX(Jidouka.TotalTimeSaved) AS MaxTimeSaved FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId GROUP BY Department.DepartmentName;","SELECT DepartmentName, MAX(TotalTimeSaved) AS MaxTimeSaved FROM Jidouka GROUP BY DepartmentName;"
Liệt kê tất cả các cải tiến có sử dụng công cụ 'Automation Tool' với tổng số công việc áp dụng lớn hơn 50 và thuộc bộ phận 'QA'.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Department.DepartmentName LIKE LOWER('%QA%') AND Tool.ToolName LIKE LOWER('%Automation Tool%') AND Jidouka.TotalJobApplied > 50;,SELECT Jidouka.ImprovementName FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE JidoukaTool.ToolName LIKE '%Automation Tool%' AND Jidouka.TotalJobApplied > 50 AND Jidouka.DepartmentId = (SELECT DepartmentId FROM Department WHERE DepartmentName LIKE LOWER('%QA%'));
Công cụ nào có mô tả chứa từ 'AI' được sử dụng trong các cải tiến?,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Tool.ToolDescription LIKE '%AI%';,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.ToolName LIKE '%AI%';
